foo,CR-Fairmount,CR-Fitchburg,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester
92,20.033333333333335,101.16666666666667,55.21666666666667,77.33333333333333,67.08333333333333,47.95,40.11666666666667,70.10833333333333,86.32499999999999,81.86666666666666
93,25.45,105.3,54.666666666666664,78.03333333333333,53.03333333333333,45.13333333333333,43.78333333333333,64.18333333333334,84.25,85.66666666666667
94,21.016666666666666,82.68333333333334,56.88333333333333,68.15,55.416666666666664,40.3,41.666666666666664,69.825,84.85,108.53333333333333
95,26.016666666666666,96.1,54.63333333333333,73.33333333333333,51.61666666666667,45.916666666666664,42.68333333333333,87.675,87.21666666666667,85.08333333333333
96,25.516666666666666,100.33333333333333,56.21666666666667,74.58333333333333,53.65,42.35,43.38333333333333,70.025,92.9,90.35
97,26.033333333333335,98.78333333333333,55.31666666666667,70.2,61.36666666666667,43.78333333333333,41.416666666666664,71.08333333333334,89.78333333333333,81.18333333333334
98,22.533333333333335,94.66666666666667,54.45,63.86666666666667,65.0,44.65,49.0,63.875,90.81666666666666,100.35
99,24.066666666666666,46.03333333333333,57.083333333333336,73.21666666666667,60.0,47.38333333333333,51.28333333333333,69.25,91.7,83.05
100,24.016666666666666,98.43333333333334,53.483333333333334,67.36666666666666,67.08333333333333,52.43333333333333,46.45,70.10833333333333,90.33333333333333,78.28333333333333
101,25.033333333333335,102.23333333333333,53.38333333333333,70.83333333333333,61.266666666666666,47.03333333333333,43.2,69.53333333333333,93.41666666666667,86.0
102,23.516666666666666,97.51666666666667,55.083333333333336,64.51666666666667,57.65,46.28333333333333,54.2,90.26666666666667,90.0,81.3
103,23.516666666666666,96.51666666666667,55.36666666666667,72.68333333333334,56.983333333333334,45.56666666666667,44.53333333333333,63.75,95.41666666666667,82.63333333333334
104,24.016666666666666,83.55,53.766666666666666,76.26666666666667,55.166666666666664,45.85,40.416666666666664,67.94166666666666,89.81666666666666,93.83333333333333
105,23.3,93.16666666666667,58.18333333333333,69.63333333333334,54.71666666666667,46.88333333333333,39.8,71.80833333333334,91.43333333333334,90.36666666666666
106,22.783333333333335,104.13333333333334,54.06666666666667,62.9,53.03333333333333,47.016666666666666,47.6,74.21666666666667,89.51666666666667,92.31666666666666
107,25.516666666666666,93.5,56.21666666666667,71.46666666666667,52.583333333333336,45.0,46.46666666666667,70.03333333333333,96.58333333333333,98.15
108,25.05,82.65,55.81666666666667,78.73333333333333,53.43333333333333,44.3,48.21666666666667,73.45833333333333,93.8,81.63333333333334
109,24.033333333333335,99.16666666666667,58.266666666666666,68.31666666666666,57.9,46.78333333333333,40.43333333333333,71.13333333333333,91.51666666666667,87.86666666666666
110,23.033333333333335,93.43333333333334,55.03333333333333,69.88333333333334,54.666666666666664,41.9,38.55,72.44166666666666,101.2,87.48333333333333
111,24.033333333333335,96.4,54.583333333333336,63.416666666666664,65.65,43.8,43.233333333333334,68.35833333333333,89.91666666666667,75.98333333333333
112,22.533333333333335,108.8,55.983333333333334,84.16666666666667,56.06666666666667,45.35,42.35,67.93333333333334,90.85,79.98333333333333
113,22.533333333333335,83.31666666666666,57.63333333333333,69.08333333333333,56.916666666666664,48.266666666666666,47.733333333333334,73.80833333333334,90.46666666666667,89.41666666666667
114,24.033333333333335,102.98333333333333,57.85,142.78333333333333,58.53333333333333,47.833333333333336,46.766666666666666,78.31666666666666,101.65,91.81666666666666
115,23.55,94.05,53.53333333333333,83.78333333333333,67.56666666666666,51.666666666666664,40.483333333333334,77.38333333333333,90.58333333333333,94.93333333333334
