actualTravelTimeMin,benchmarkTravelTime,delay,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
27.13333333,30.0,-2.866666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0
33.0,30.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,1,0,1,0,1
28.38333333,30.0,-1.6166666669999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,0,1,0,1,0,0
27.55,30.0,-2.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,0,1,0,1,0,0
28.8,30.0,-1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1,0,1,0,0,0,0
27.51666667,30.0,-2.483333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,0,0
27.26666667,30.0,-2.733333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,1,0,0,1,0,0
28.03333333,30.0,-1.966666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,0,0,1,0,0
27.95,30.0,-2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,0,0,0
26.95,30.0,-3.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,1,0,0,0,0,0
28.2,30.0,-1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1,0,0,0,0,0,0
31.95,30.0,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,1,0,0,0,0,0,1
28.58333333,30.0,-1.4166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0
30.01666667,30.0,0.016666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,1,0,1,0,1,0,1
28.46666667,30.0,-1.533333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,1,0,1,0,1,0,0
31.18333333,30.0,1.183333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,1,0,1,0,1,0,1
31.41666667,30.0,1.4166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,1,0,1,0,1,0,1
28.8,30.0,-1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,1,0,0,0,0,0
27.98333333,30.0,-2.016666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1,1,0,0,1,0,0
24.06666667,30.0,-5.933333332999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,1,1,0,0,0,0,0
28.03333333,30.0,-1.966666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,1,0,0,0,0,0,0
31.48333333,30.0,1.483333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,1,0,1,0,1,0,1
27.6,30.0,-2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,1,0,1,0,1,0,0
29.26666667,30.0,-0.7333333329999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,1,0,1,0,0,0,0
27.2,30.0,-2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,1,0,0,0,0,0
28.06666667,30.0,-1.9333333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,1,0,0,0,0,0
26.4,30.0,-3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1,1,0,0,1,0,0
28.06666667,30.0,-1.9333333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,1,1,0,0,0,0,0
27.13333333,30.0,-2.866666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,1,1,0,0,0,0,0
26.4,30.0,-3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,1,0,0,0,0,0,0
30.58333333,30.0,0.583333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,1,0,0,0,0,0,1
26.86666667,30.0,-3.133333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,1,0,0,0,0,0,0
